Member_number,Date,itemDescription
4494,6/1/2015,ice cream
2460,9/28/2015,canned beer
4509,11/29/2015,tropical fruit
2267,3/7/2015,meat
4891,5/9/2015,whole milk
3962,9/20/2015,sausage
4964,7/18/2015,frankfurter
2914,11/30/2015,meat
2808,5/5/2015,root vegetables
1085,8/15/2015,root vegetables
3808,8/18/2015,whole milk
4149,7/1/2015,citrus fruit
2331,5/6/2015,citrus fruit
4475,3/4/2015,other vegetables
2761,4/25/2015,citrus fruit
2620,12/14/2015,sausage
3206,10/13/2015,frankfurter
1226,4/13/2015,hard cheese
1395,7/3/2015,cream cheese 
2465,7/6/2015,turkey
3572,9/7/2015,pork
4387,8/5/2015,whole milk
1555,3/27/2015,rolls/buns
1181,11/16/2015,sausage
2814,11/5/2015,ice cream
2794,9/16/2015,liquor
2912,1/28/2015,pip fruit
4667,12/1/2015,root vegetables
2235,10/25/2015,soda
2353,2/5/2015,soda
3449,8/3/2015,sausage
1058,10/11/2015,root vegetables
1027,5/17/2015,pork
3302,5/22/2015,pork
2229,5/30/2015,chocolate
2188,8/15/2015,fruit/vegetable juice
1547,4/18/2015,pickled vegetables
1649,6/30/2015,bottled water
3254,10/9/2015,frankfurter
2818,7/11/2015,tropical fruit
2703,8/5/2015,canned beer
3332,1/31/2015,root vegetables
2473,1/7/2015,meat
2810,12/30/2015,frankfurter
1033,4/22/2015,tropical fruit
4222,5/27/2015,tropical fruit
3679,9/21/2015,citrus fruit
2212,8/27/2015,hamburger meat
1507,6/22/2015,chicken
2870,1/21/2015,chicken
3429,4/26/2015,frankfurter
4148,9/4/2015,canned beer
2970,12/30/2015,turkey
2013,8/30/2015,packaged fruit/vegetables
3967,5/30/2015,pasta
2885,5/15/2015,citrus fruit
3935,2/7/2015,sausage
3283,1/5/2015,whole milk
3268,6/11/2015,canned beer
3677,4/30/2015,citrus fruit
3495,6/27/2015,liquor (appetizer)
1410,4/10/2015,citrus fruit
2440,6/6/2015,sausage
4088,1/13/2015,chicken
2469,9/23/2015,hamburger meat
4229,6/3/2015,sausage
2728,2/8/2015,beef
4694,1/25/2015,citrus fruit
2836,12/29/2015,UHT-milk
1311,12/2/2015,candy
1760,1/23/2015,newspapers
3656,2/3/2015,beef
3720,5/28/2015,sausage
2996,9/26/2015,frankfurter
1949,7/22/2015,canned beer
4498,11/2/2015,bottled beer
2447,12/28/2015,onions
1952,3/23/2015,tropical fruit
4099,1/27/2015,bottled water
1804,12/3/2015,beef
1510,5/16/2015,sausage
2879,4/18/2015,hair spray
4899,12/3/2015,chicken
4326,9/29/2015,pork
1670,5/17/2015,ice cream
1117,5/24/2015,meat
1346,3/4/2015,other vegetables
1178,11/15/2015,bottled water
1649,6/25/2015,tropical fruit
4651,6/21/2015,photo/film
4243,2/4/2015,sausage
4429,7/21/2015,grapes
4645,7/25/2015,domestic eggs
4019,7/24/2015,rolls/buns
4459,4/26/2015,tropical fruit
3006,12/27/2015,chicken
1834,9/17/2015,frankfurter
3236,4/7/2015,berries
1765,11/3/2015,margarine
3855,9/3/2015,tropical fruit
4392,11/28/2015,ham
3330,7/26/2015,hamburger meat
1723,2/9/2015,yogurt
4110,3/30/2015,soda
2600,1/28/2015,yogurt
2946,7/10/2015,soda
2426,8/9/2015,bottled water
4170,3/5/2015,sausage
1109,6/4/2015,citrus fruit
3429,4/1/2015,shopping bags
2055,4/2/2015,newspapers
2480,9/20/2015,frankfurter
2441,5/30/2015,sausage
1054,4/10/2015,frankfurter
4818,11/1/2015,salt
3379,1/21/2015,oil
3939,10/2/2015,curd
1367,5/8/2015,other vegetables
1043,10/1/2015,citrus fruit
2231,10/17/2015,frankfurter
3235,12/28/2015,root vegetables
4554,7/16/2015,tropical fruit
3245,1/24/2015,beef
2996,5/19/2015,berries
2507,5/1/2015,canned beer
4186,10/25/2015,whipped/sour cream
3929,4/28/2015,root vegetables
3760,11/22/2015,whole milk
4928,8/18/2015,beef
4217,12/18/2015,frozen vegetables
1174,11/2/2015,rolls/buns
4103,6/19/2015,whole milk
4408,3/13/2015,whole milk
2588,12/28/2015,citrus fruit
2598,11/11/2015,pastry
1518,11/12/2015,frankfurter
2702,8/4/2015,tropical fruit
1001,1/20/2015,frankfurter
2270,9/30/2015,berries
2838,10/11/2015,rolls/buns
1683,5/26/2015,root vegetables
4040,3/4/2015,yogurt
3897,8/23/2015,other vegetables
2200,11/3/2015,berries
4073,1/29/2015,berries
3700,4/19/2015,other vegetables
3973,10/6/2015,rolls/buns
2715,6/7/2015,ham
3967,11/23/2015,whole milk
4002,3/9/2015,tropical fruit
2962,1/3/2015,bottled water
4340,12/25/2015,butter milk
2092,6/11/2015,newspapers
3143,5/24/2015,coffee
2209,3/10/2015,bottled beer
2816,8/22/2015,onions
2659,1/6/2015,hamburger meat
1588,10/13/2015,sausage
1144,10/15/2015,hard cheese
2166,10/12/2015,sausage
3300,6/10/2015,hamburger meat
3944,3/1/2015,onions
4979,4/24/2015,coffee
2630,1/21/2015,shopping bags
4240,4/29/2015,yogurt
2357,8/7/2015,soda
1743,4/18/2015,sliced cheese
2331,2/15/2015,sausage
1643,4/28/2015,yogurt
1291,3/20/2015,domestic eggs
3675,4/7/2015,whole milk
4134,6/11/2015,meat
1363,6/21/2015,dish cleaner
4212,1/5/2015,other vegetables
1500,3/21/2015,whole milk
2622,1/10/2015,other vegetables
3543,3/18/2015,tropical fruit
2525,5/24/2015,baking powder
1264,12/10/2015,specialty bar
3601,6/7/2015,ice cream
1771,3/23/2015,frankfurter
4694,6/2/2015,canned beer
1122,12/21/2015,bottled water
3507,12/8/2015,other vegetables
4524,4/26/2015,citrus fruit
3612,9/27/2015,sausage
3262,11/6/2015,domestic eggs
1897,1/25/2015,pork
1656,10/30/2015,specialty cheese
3953,10/1/2015,pork
1488,6/21/2015,beef
1652,3/17/2015,other vegetables
4953,9/16/2015,chicken
3445,4/30/2015,soda
3180,3/15/2015,whole milk
4934,6/9/2015,rolls/buns
2980,4/27/2015,bottled beer
2763,2/13/2015,root vegetables
4819,4/3/2015,pastry
3169,2/7/2015,berries
1850,11/3/2015,citrus fruit
4285,12/29/2015,whole milk
4366,8/13/2015,soda
2253,6/16/2015,bottled water
3398,11/3/2015,tropical fruit
2215,7/22/2015,salty snack
3737,3/3/2015,bottled water
2649,11/28/2015,chocolate
3203,7/8/2015,citrus fruit
4261,2/16/2015,bottled water
2435,7/17/2015,onions
2046,8/21/2015,dessert
4267,11/2/2015,beef
1086,12/28/2015,rolls/buns
1992,4/1/2015,beef
3622,7/26/2015,soda
4700,6/27/2015,coffee
2272,5/16/2015,rolls/buns
1663,5/19/2015,pork
2519,3/6/2015,soda
2639,10/30/2015,sausage
1466,4/19/2015,beef
4122,10/23/2015,whole milk
3598,4/15/2015,pork
3097,10/8/2015,berries
1873,9/19/2015,sausage
1537,1/2/2015,bottled water
3960,3/25/2015,tropical fruit
1136,6/15/2015,herbs
2453,12/21/2015,yogurt
1746,2/15/2015,Instant food products
3572,9/6/2015,specialty chocolate
3246,6/24/2015,coffee
3207,11/26/2015,bottled beer
1042,12/2/2015,beef
1176,3/30/2015,whole milk
3054,2/23/2015,frankfurter
4486,2/12/2015,frankfurter
1580,5/12/2015,other vegetables
1623,2/11/2015,frankfurter
4169,11/24/2015,whole milk
2254,1/24/2015,frankfurter
4095,1/11/2015,other vegetables
1264,11/17/2015,bottled water
3375,6/1/2015,pork
3242,5/23/2015,bottled water
2227,7/6/2015,other vegetables
3847,3/12/2015,hamburger meat
3897,5/31/2015,hamburger meat
1799,9/27/2015,shopping bags
2920,4/26/2015,whole milk
3713,1/31/2015,ice cream
4230,5/11/2015,pastry
1455,3/18/2015,ham
3687,3/18/2015,frankfurter
3869,1/8/2015,sausage
2988,10/14/2015,bottled beer
4242,3/30/2015,bottled water
4118,12/24/2015,meat
4996,10/24/2015,dessert
4489,4/3/2015,other vegetables
1199,9/11/2015,beverages
4108,12/5/2015,ham
3484,5/6/2015,specialty bar
1239,8/31/2015,brown bread
4839,12/19/2015,whole milk
4748,7/5/2015,rolls/buns
4426,6/6/2015,bottled beer
3571,11/12/2015,pet care
2852,8/6/2015,citrus fruit
3638,5/26/2015,pork
3635,10/3/2015,other vegetables
2723,7/5/2015,white wine
3495,11/3/2015,whole milk
2813,11/16/2015,pip fruit
2799,2/9/2015,sugar
4723,5/22/2015,tropical fruit
3313,8/4/2015,root vegetables
4748,12/15/2015,soda
2991,2/16/2015,whole milk
1483,1/4/2015,tropical fruit
3950,1/10/2015,white bread
1634,1/16/2015,brown bread
2694,11/21/2015,tropical fruit
2707,10/18/2015,domestic eggs
2813,7/16/2015,coffee
2276,11/1/2015,soda
4726,6/2/2015,whole milk
4353,5/25/2015,bottled beer
4017,8/13/2015,pork
1422,8/21/2015,other vegetables
2714,3/15/2015,yogurt
2769,7/21/2015,sparkling wine
4166,4/30/2015,bottled water
3614,2/3/2015,citrus fruit
4361,5/9/2015,hamburger meat
1922,9/22/2015,packaged fruit/vegetables
4728,6/9/2015,other vegetables
3646,8/8/2015,soda
1155,10/8/2015,whole milk
2119,11/6/2015,herbs
1602,8/29/2015,citrus fruit
1074,6/24/2015,misc. beverages
2256,11/4/2015,female sanitary products
1348,9/17/2015,soda
3806,8/28/2015,tropical fruit
1711,6/6/2015,soda
3959,12/4/2015,white bread
1590,8/15/2015,coffee
1962,8/6/2015,tropical fruit
1766,1/21/2015,pork
2551,10/21/2015,citrus fruit
2294,9/23/2015,frankfurter
4531,5/29/2015,frankfurter
2957,12/4/2015,frankfurter
4415,1/27/2015,other vegetables
1476,8/26/2015,yogurt
3978,7/23/2015,sausage
2062,9/22/2015,whole milk
3252,6/28/2015,pip fruit
3922,6/24/2015,whole milk
1491,10/17/2015,root vegetables
3526,8/26/2015,onions
4060,11/12/2015,specialty chocolate
1067,8/4/2015,hamburger meat
2840,1/27/2015,photo/film
4484,11/27/2015,rolls/buns
2353,7/2/2015,canned beer
3130,2/18/2015,canned beer
4273,6/14/2015,other vegetables
4565,12/30/2015,canned beer
2504,8/14/2015,curd
4127,10/23/2015,butter
2690,1/4/2015,other vegetables
4129,9/22/2015,whole milk
4511,6/29/2015,beef
1602,4/8/2015,sausage
4369,1/2/2015,soda
1302,9/29/2015,fruit/vegetable juice
3326,4/30/2015,rolls/buns
2066,5/21/2015,pip fruit
3483,1/15/2015,frozen vegetables
2840,12/2/2015,beverages
1807,5/18/2015,hamburger meat
2067,12/8/2015,root vegetables
3783,2/17/2015,canned beer
2884,4/1/2015,frozen vegetables
2908,3/15/2015,canned beer
1330,10/7/2015,newspapers
2293,8/5/2015,rolls/buns
3718,5/20/2015,hamburger meat
4338,1/25/2015,pip fruit
3486,8/11/2015,canned beer
3635,4/9/2015,grapes
2857,2/18/2015,root vegetables
3684,8/13/2015,citrus fruit
3120,10/20/2015,cling film/bags
3872,3/19/2015,frankfurter
2777,7/4/2015,whole milk
2702,5/27/2015,pork
4796,6/29/2015,chicken
1564,10/23/2015,sausage
2740,2/7/2015,specialty bar
1833,4/13/2015,whipped/sour cream
1757,12/23/2015,root vegetables
2975,10/24/2015,rolls/buns
4032,10/8/2015,other vegetables
3979,9/16/2015,citrus fruit
3772,9/3/2015,whole milk
4523,10/28/2015,frankfurter
4004,4/19/2015,coffee
2936,8/6/2015,ham
2394,6/21/2015,canned beer
4616,8/16/2015,canned beer
2362,8/7/2015,canned beer
3593,3/11/2015,pip fruit
4389,8/27/2015,pork
3206,11/8/2015,soap
4601,4/1/2015,pip fruit
4382,11/13/2015,beef
2718,8/6/2015,sausage
4691,12/10/2015,frozen chicken
3735,11/28/2015,soda
3900,12/20/2015,tropical fruit
4959,6/30/2015,other vegetables
1815,8/30/2015,beef
2454,8/4/2015,meat
4778,1/15/2015,meat
2289,4/11/2015,bottled water
1734,7/13/2015,rolls/buns
4019,5/2/2015,pastry
4605,5/28/2015,pork
4864,11/14/2015,pip fruit
4205,2/22/2015,beef
1862,3/8/2015,beef
1846,7/19/2015,rolls/buns
2019,5/28/2015,citrus fruit
2042,11/19/2015,meat
1768,5/26/2015,beverages
3847,3/26/2015,beef
3557,7/20/2015,ham
3975,2/27/2015,hamburger meat
4198,3/18/2015,beef
2580,4/9/2015,beef
3474,8/25/2015,root vegetables
1678,11/14/2015,citrus fruit
4254,8/14/2015,yogurt
4704,8/21/2015,tropical fruit
3343,10/5/2015,frankfurter
3812,6/24/2015,beef
3093,3/13/2015,shopping bags
2170,6/18/2015,canned beer
4867,10/29/2015,rolls/buns
3899,3/23/2015,other vegetables
2941,3/10/2015,hamburger meat
1958,3/7/2015,hamburger meat
2760,8/8/2015,frankfurter
4413,3/8/2015,bottled beer
1737,5/15/2015,tropical fruit
4202,2/18/2015,soda
1065,11/13/2015,frankfurter
3819,6/28/2015,chicken
2854,8/2/2015,coffee
4387,9/16/2015,whole milk
4530,12/4/2015,margarine
4191,3/11/2015,tropical fruit
3102,4/12/2015,meat
1946,1/25/2015,cream cheese 
2156,5/15/2015,newspapers
1444,12/16/2015,rolls/buns
1699,5/14/2015,citrus fruit
4954,4/5/2015,whole milk
2207,8/4/2015,frankfurter
4826,1/28/2015,ham
2374,8/6/2015,frankfurter
1604,8/18/2015,sausage
4437,11/29/2015,domestic eggs
2319,10/5/2015,whole milk
3018,6/27/2015,rolls/buns
1195,9/28/2015,whole milk
1768,4/9/2015,sausage
3017,9/28/2015,curd
3384,11/29/2015,bottled water
1918,1/30/2015,beef
2524,10/17/2015,frankfurter
2798,6/17/2015,chicken
2096,1/25/2015,sausage
1489,3/13/2015,pork
1431,7/20/2015,yogurt
2747,5/7/2015,whole milk
3054,3/22/2015,frankfurter
2691,9/10/2015,beef
1752,4/19/2015,pip fruit
3027,9/15/2015,sausage
4452,6/17/2015,pastry
4129,8/13/2015,chicken
3523,9/11/2015,root vegetables
2128,11/2/2015,whole milk
4867,3/2/2015,detergent
4762,10/30/2015,rolls/buns
1632,5/29/2015,house keeping products
4018,11/17/2015,yogurt
1722,7/13/2015,tropical fruit
1438,10/19/2015,tropical fruit
3958,10/27/2015,curd
3292,9/13/2015,beef
2861,2/23/2015,whole milk
1757,2/24/2015,pork
1509,12/30/2015,other vegetables
2364,11/5/2015,rolls/buns
3084,10/26/2015,frankfurter
1850,2/17/2015,yogurt
1949,3/17/2015,whole milk
4740,2/10/2015,bottled water
1072,10/23/2015,frankfurter
4196,9/7/2015,rolls/buns
4814,9/13/2015,whole milk
1514,2/28/2015,rolls/buns
4584,10/25/2015,chicken
2751,3/2/2015,tropical fruit
4155,9/24/2015,sausage
4670,11/10/2015,sausage
4566,7/27/2015,frankfurter
2371,8/30/2015,UHT-milk
3442,11/14/2015,rolls/buns
3090,9/27/2015,canned beer
1457,9/1/2015,yogurt
4952,8/4/2015,whipped/sour cream
3165,11/1/2015,rolls/buns
2608,9/19/2015,rolls/buns
2040,7/10/2015,beverages
1327,9/8/2015,rolls/buns
3363,7/1/2015,rolls/buns
1731,9/9/2015,bottled beer
2760,2/8/2015,citrus fruit
3120,1/14/2015,bottled water
1332,4/30/2015,pastry
4530,12/9/2015,domestic eggs
3145,2/23/2015,beef
1099,8/13/2015,spread cheese
3188,6/12/2015,tropical fruit
3748,10/13/2015,packaged fruit/vegetables
4655,3/31/2015,whole milk
1827,1/5/2015,meat
2485,2/17/2015,onions
4683,1/15/2015,frankfurter
4358,6/11/2015,beef
1931,9/10/2015,beef
2490,12/18/2015,sausage
4842,8/12/2015,chicken
4616,1/1/2015,canned beer
2810,9/22/2015,sausage
2785,10/18/2015,tropical fruit
3591,7/20/2015,frankfurter
3896,10/9/2015,sausage
3842,1/7/2015,beef
2648,10/7/2015,tropical fruit
4688,2/10/2015,yogurt
3511,8/26/2015,frankfurter
3084,4/9/2015,bottled beer
3810,7/5/2015,grapes
4348,2/26/2015,beverages
3584,10/3/2015,curd
2620,11/6/2015,ice cream
2716,1/18/2015,sausage
3797,10/8/2015,other vegetables
2976,2/6/2015,dessert
2762,7/11/2015,decalcifier
3752,4/25/2015,canned beer
1659,11/30/2015,coffee
4109,8/2/2015,berries
1542,7/8/2015,pork
2068,7/6/2015,frankfurter
4509,6/14/2015,pork
4646,6/14/2015,frankfurter
2122,7/4/2015,frozen dessert
2730,6/15/2015,chicken
1800,7/31/2015,vinegar
1456,9/18/2015,rolls/buns
1138,2/9/2015,whole milk
4104,12/6/2015,pork
4985,2/28/2015,rolls/buns
3181,12/13/2015,grapes
3178,10/21/2015,frankfurter
1688,10/11/2015,finished products
1488,11/28/2015,onions
4975,8/5/2015,tropical fruit
4697,9/1/2015,other vegetables
4742,11/1/2015,ham
2640,4/22/2015,other vegetables
2548,12/25/2015,curd
2825,12/29/2015,sausage
2592,4/7/2015,canned beer
3622,12/28/2015,ham
4852,8/21/2015,packaged fruit/vegetables
1839,3/9/2015,meat
2413,4/4/2015,whole milk
2982,6/14/2015,canned beer
1981,10/31/2015,chicken
4440,9/21/2015,rolls/buns
3497,11/24/2015,pet care
3668,12/18/2015,root vegetables
4460,5/28/2015,pastry
1335,1/16/2015,frankfurter
4303,7/12/2015,chicken
3508,2/28/2015,frozen dessert
1959,3/19/2015,citrus fruit
3856,6/3/2015,sausage
3141,7/29/2015,root vegetables
4640,9/25/2015,root vegetables
4851,5/25/2015,bottled beer
3306,9/22/2015,frankfurter
2193,8/4/2015,root vegetables
1156,9/13/2015,berries
4596,8/4/2015,hamburger meat
1245,8/10/2015,tropical fruit
1515,5/7/2015,frankfurter
2564,7/14/2015,frankfurter
4527,10/18/2015,soda
2487,9/7/2015,ice cream
3420,2/27/2015,beef
4442,11/28/2015,whole milk
3164,4/30/2015,pork
3601,1/4/2015,whole milk
3176,5/25/2015,bottled beer
2568,7/22/2015,pork
1856,10/26/2015,root vegetables
3859,9/30/2015,canned beer
1668,8/21/2015,citrus fruit
4499,8/23/2015,pip fruit
1753,8/21/2015,root vegetables
3829,6/25/2015,tropical fruit
4825,8/1/2015,beef
3694,10/11/2015,chicken
4147,2/1/2015,citrus fruit
2196,9/10/2015,meat
2229,5/22/2015,cream cheese 
4724,3/9/2015,citrus fruit
3066,11/10/2015,specialty bar
1120,8/6/2015,meat
4769,8/22/2015,citrus fruit
4711,9/17/2015,frankfurter
2391,6/22/2015,citrus fruit
1216,4/3/2015,turkey
3154,5/14/2015,citrus fruit
3911,7/30/2015,sausage
3111,10/15/2015,newspapers
1385,11/26/2015,whole milk
1158,3/21/2015,yogurt
2733,7/22/2015,yogurt
4999,12/26/2015,bottled water
2882,12/6/2015,berries
2590,6/25/2015,packaged fruit/vegetables
4249,4/8/2015,frankfurter
3012,3/5/2015,nuts/prunes
1533,7/11/2015,citrus fruit
1667,12/1/2015,beef
4323,5/13/2015,whole milk
2087,2/22/2015,other vegetables
1853,5/31/2015,beef
2157,10/29/2015,fish
1136,10/29/2015,other vegetables
2049,7/10/2015,tropical fruit
3122,2/5/2015,coffee
2245,5/15/2015,sausage
4746,10/18/2015,meat
4224,2/24/2015,chicken
4219,3/19/2015,berries
2641,1/1/2015,frozen meals
3173,7/25/2015,whipped/sour cream
2191,10/19/2015,beef
4212,7/4/2015,chicken
1902,1/12/2015,chicken
1347,3/27/2015,beef
1578,6/23/2015,packaged fruit/vegetables
1264,11/23/2015,sugar
4632,9/30/2015,frankfurter
3452,1/11/2015,berries
4822,10/2/2015,bottled water
3987,6/18/2015,sausage
1672,7/10/2015,whole milk
4864,1/12/2015,ice cream
3368,9/3/2015,frankfurter
1283,9/22/2015,root vegetables
4428,6/28/2015,sausage
2577,10/25/2015,sausage
1973,10/24/2015,beef
3284,1/23/2015,fruit/vegetable juice
1905,5/19/2015,sugar
2226,9/3/2015,berries
1932,4/9/2015,yogurt
4506,11/8/2015,pork
1843,11/27/2015,bottled beer
3973,7/27/2015,curd
1651,7/28/2015,beef
3997,12/10/2015,pork
4796,8/25/2015,white bread
1245,9/24/2015,grapes
3579,8/17/2015,potato products
4387,10/2/2015,root vegetables
2496,6/29/2015,chicken
3590,3/28/2015,chicken
2890,4/26/2015,fish
1401,1/27/2015,canned beer
3297,5/21/2015,other vegetables
2867,12/23/2015,chicken
1365,5/20/2015,other vegetables
2355,7/24/2015,tropical fruit
1170,3/19/2015,whole milk
3554,3/21/2015,beef
4171,1/26/2015,sausage
3963,9/17/2015,whole milk
3076,8/12/2015,rolls/buns
1629,5/17/2015,citrus fruit
1366,5/30/2015,whole milk
3677,7/29/2015,pastry
2844,5/21/2015,tropical fruit
4509,9/28/2015,sliced cheese
3245,11/5/2015,soda
2294,6/22/2015,ham
1234,11/20/2015,salty snack
3001,12/24/2015,whole milk
3587,5/8/2015,root vegetables
2700,1/22/2015,soda
3838,12/14/2015,curd
4045,12/22/2015,bottled water
1858,4/25/2015,packaged fruit/vegetables
2280,11/1/2015,tropical fruit
2454,6/4/2015,ham
4437,9/10/2015,pork
1685,3/30/2015,beverages
